x_var,y_var,correlation,p_value,direction,method
IN_VEHICLE,activity_2_response,0.16451404986498244,0.007859129842631419,Positive,Spearman
TILTING,feel_eat_1_response,0.2130237052435243,0.009096748115894815,Positive,Spearman
UNLOCK_EVENTS_NUM,relax_10_response,-0.20254740073009248,0.04221996331740609,Negative,Pearson
ON_FOOT,proc_4_response,-0.310515317807764,0.0005883391641365876,Negative,Spearman
TILTING,int_eat_1_response,0.3325510981287642,0.0002821401587978787,Positive,Spearman
TILTING,friend_1_response,0.17941670046372674,0.047996694656291715,Positive,Pearson
STILL,tense_11_response,-0.1863213795225448,0.03522316471089945,Negative,Spearman
MIMS_SUM_WEAR,int_sed_1_response,0.6286281606638376,4.183424053983811e-13,Positive,Spearman
TILTING,int_exer_3_response,0.3378133045629005,0.0015675887032422374,Positive,Spearman
SCREEN_ON_SECONDS,int_eat_1_response,-0.2697563479462124,0.003551617422564749,Negative,Pearson
MIMS_SUM_WEAR,proc_4_response,-0.3284732420614088,0.0002651803886874352,Negative,Pearson
TILTING,energy_9_response,0.23687653241290688,0.012718005871368626,Positive,Spearman
IN_VEHICLE,int_sed_1_response,0.23768575286931332,0.013693689570187666,Positive,Pearson
MIMS_SUM_WEAR,stress_2_response,-0.2123280866931462,0.02888069114080808,Negative,Spearman
UNLOCK_EVENTS_NUM,sleep_0_response,-0.29905675609239146,0.010714987341720333,Negative,Spearman
UNKNOWN,prod_0_response,0.3341855339562812,0.00013109546693249326,Positive,Pearson
TILTING,alone_0_response,-0.2495831110502248,0.006652523314008394,Negative,Pearson
UNLOCK_EVENTS_NUM,int_eat_1_response,0.21364186557289533,0.021873247924654813,Positive,Pearson
ON_FOOT,feel_exer_1_response,0.21346174201213897,0.017291951963104884,Positive,Spearman
STILL,control_1_response,-0.19949765144495704,0.02892392561970728,Negative,Pearson
TILTING,feel_sit_1_response,0.3116207032267355,0.00015155052299180112,Positive,Spearman
IN_VEHICLE,feel_sit_1_response,0.38314824347952503,2.3228824387336227e-06,Positive,Spearman
SLEEP_MINUTES,tired_1_response,-0.19221185651232758,0.043275610943075374,Negative,Spearman
ON_FOOT,control_1_response,0.18935354132868648,0.03832789204529775,Positive,Spearman
STILL,activity_2_response,-0.5785981487671907,1.238652497432217e-24,Negative,Pearson
ON_FOOT,fatigue_13_response,-0.1992412676823332,0.03779867679967732,Negative,Pearson
SLEEP_MINUTES,control_1_response,0.2768045203982005,0.0022094014517476564,Positive,Spearman
IN_VEHICLE,burden_1_response,0.20120778741301062,0.046959391644711766,Positive,Pearson
SCREEN_ON_SECONDS,int_exer_3_response,-0.38031303997798727,0.00033029459982517235,Negative,Spearman
SCREEN_ON_SECONDS,activity_2_response,0.14877300359225126,0.016363346365005874,Positive,Pearson
TILTING,prod_0_response,0.3471138292823439,6.832258513610243e-05,Positive,Pearson
UNKNOWN,int_exer_3_response,0.4114755325610649,9.144703504958492e-05,Positive,Spearman
IN_VEHICLE,friend_1_response,0.32106204822002127,0.0003113317974816285,Positive,Pearson
ON_FOOT,int_sed_1_response,0.4583685940523989,6.87788352172563e-07,Positive,Pearson
TILTING,int_eat_1_response,0.27601884721297626,0.0028277461812552043,Positive,Pearson
TILTING,friend_1_response,0.22531340690941126,0.012587880513535356,Positive,Spearman
MIMS_SUM_WEAR,focus_3_response,0.2131981286005197,0.012370909411395853,Positive,Spearman
ON_FOOT,int_eat_1_response,0.3499592676789067,0.00012614595666549146,Positive,Spearman
TILTING,alone_0_response,-0.27067788498596207,0.0031602778922558646,Negative,Spearman
STILL,int_eat_1_response,0.1964929641777869,0.035317688016641285,Positive,Spearman
IN_VEHICLE,feel_sit_1_response,0.37629473764933874,3.6261012999529994e-06,Positive,Pearson
ON_FOOT,int_exer_3_response,0.4982585379323219,1.2192549213539727e-06,Positive,Spearman
IN_VEHICLE,int_eat_1_response,0.20542875263993646,0.027632955425514923,Positive,Pearson
SCREEN_ON_SECONDS,int_exer_3_response,-0.3714297788065742,0.0004656140907958998,Negative,Pearson
ON_BIKE,feel_exer_1_response,0.23499711072112606,0.008608743628584162,Positive,Spearman
TILTING,proc_4_response,-0.3220370143354795,0.0003548561783505128,Negative,Pearson
UNKNOWN,int_exer_3_response,0.3068061638582935,0.004290791781236955,Positive,Pearson
UNKNOWN,stress_2_response,-0.26044835107509,0.007009591040303619,Negative,Pearson
UNLOCK_EVENTS_NUM,hunger_0_response,0.2576531268808765,0.004496701580195787,Positive,Pearson
MIMS_SUM_WEAR,feel_eat_1_response,0.40776033331872114,2.4490594174873624e-07,Positive,Spearman
UNKNOWN,prod_0_response,0.33266438903952467,0.00014127907509106814,Positive,Spearman
STILL,excite_14_response,-0.2506526542175578,0.008262777102140883,Negative,Spearman
IN_VEHICLE,tired_1_response,0.18739757750758607,0.04889673685973508,Positive,Pearson
ON_BIKE,prod_0_response,0.20628570521519832,0.020478795729685514,Positive,Pearson
UNKNOWN,feel_eat_1_response,0.19744339754735651,0.01579509922613901,Positive,Pearson
TILTING,int_sed_1_response,0.33940948054139286,0.0003483347598337074,Positive,Spearman
ON_BIKE,control_1_response,0.2261726258107757,0.012993768046564113,Positive,Pearson
MIMS_SUM_WEAR,fatigue_13_response,-0.1939826283957308,0.04326624537677423,Negative,Pearson
ON_FOOT,activity_2_response,0.2018826639859938,0.0010628304779062635,Positive,Spearman
MIMS_SUM_WEAR,sad_7_response,-0.21936112206938274,0.014778542408710729,Negative,Pearson
ON_FOOT,proc_4_response,-0.3361161651020443,0.00018606029739320548,Negative,Pearson
STILL,tense_11_response,-0.19809609101028108,0.02499516182061366,Negative,Pearson
ON_BIKE,int_eat_1_response,0.3775645647987255,3.186064569038679e-05,Positive,Spearman
MIMS_SUM_WEAR,sad_7_response,-0.1932156210157378,0.032257495853146294,Negative,Spearman
UNKNOWN,tense_11_response,-0.21183853647168904,0.016373657293779653,Negative,Pearson
ON_BIKE,int_sed_1_response,0.45634840349538713,7.807341191343067e-07,Positive,Spearman
ON_FOOT,prod_0_response,0.32256537284700226,0.00022989990110225007,Positive,Spearman
SLEEP_MINUTES,burden_1_response,-0.23968601866438316,0.017449959047590474,Negative,Spearman
ON_FOOT,int_sed_1_response,0.5266266481427668,5.662043414854146e-09,Positive,Spearman
SLEEP_MINUTES,control_1_response,0.28596715623820734,0.0015443523043190842,Positive,Pearson
TILTING,fatigue_13_response,-0.20068863437515497,0.03639979136439527,Negative,Pearson
UNKNOWN,nervous_4_response,-0.24290720819271083,0.010204796179095364,Negative,Spearman
ON_BIKE,feel_eat_1_response,0.2511334475665914,0.00200613550142994,Positive,Pearson
TILTING,proc_4_response,-0.30973077858288706,0.00060850189570796,Negative,Spearman
UNKNOWN,proc_4_response,-0.29350113647238507,0.0011970572270279417,Negative,Spearman
IN_VEHICLE,alone_0_response,-0.5365253746858156,4.5168443473327653e-10,Negative,Pearson
ON_BIKE,feel_eat_1_response,0.31627645659276654,8.512667937763814e-05,Positive,Spearman
ON_BIKE,int_eat_1_response,0.2440967382866961,0.008565084555328293,Positive,Pearson
STILL,energy_9_response,-0.25590506115855666,0.0069677525725562895,Negative,Spearman
IN_VEHICLE,burden_1_response,0.2058609020618453,0.041991144074094724,Positive,Spearman
UNKNOWN,feel_sit_1_response,0.24649268226067927,0.0030005197824378702,Positive,Spearman
UNLOCK_EVENTS_NUM,relax_10_response,-0.20014223216545993,0.04477941877890367,Negative,Spearman
TILTING,focus_3_response,0.20083439919369855,0.018612793066823008,Positive,Spearman
ON_BIKE,int_exer_3_response,0.3541469603898886,0.0008835741618633931,Positive,Pearson
ON_BIKE,proc_4_response,-0.1883325820408281,0.04025005300891498,Negative,Pearson
IN_VEHICLE,int_eat_1_response,0.20135273286733132,0.030940993521524664,Positive,Spearman
ON_BIKE,int_sed_1_response,0.22683374926638888,0.018796587660578755,Positive,Pearson
ON_FOOT,int_exer_3_response,0.5319680521824587,1.6120774630295298e-07,Positive,Pearson
ON_FOOT,int_eat_1_response,0.33440221568381906,0.000259572126006622,Positive,Pearson
UNLOCK_EVENTS_NUM,feel_eat_1_response,0.16995466796435307,0.038247758210183766,Positive,Spearman
STILL,prod_0_response,-0.1756659175390657,0.049123176722077735,Negative,Spearman
UNLOCK_EVENTS_NUM,burden_1_response,0.218140742831198,0.03094073391286178,Positive,Pearson
STILL,feel_sit_1_response,-0.3917403863840912,1.3100613518200175e-06,Negative,Spearman
ON_BIKE,feel_exer_1_response,0.25248248238088633,0.004668830869833876,Positive,Pearson
IN_VEHICLE,alone_0_response,-0.549547197342184,1.3933314487807122e-10,Negative,Spearman
IN_VEHICLE,routine_0_response,0.20150647761088972,0.01778818131590569,Positive,Spearman
IN_VEHICLE,routine_0_response,0.20302907643634055,0.016927122622541757,Positive,Pearson
UNLOCK_EVENTS_NUM,sleep_0_response,-0.2465614189651122,0.03680874881490807,Negative,Pearson
ON_FOOT,feel_sit_1_response,0.3515016408159021,1.67258660965876e-05,Positive,Spearman
UNLOCK_EVENTS_NUM,burden_1_response,0.24822210413890436,0.013722548535443501,Positive,Spearman
TILTING,feel_sit_1_response,0.32106123837366773,9.242623013099408e-05,Positive,Pearson
SCREEN_ON_SECONDS,feel_eat_1_response,-0.21625836995896489,0.008073972083662844,Negative,Pearson
SLEEP_MINUTES,family_1_response,0.18835401353002984,0.0332398717402276,Positive,Spearman
SCREEN_ON_SECONDS,stress_2_response,0.291916804062017,0.0023953742839063004,Positive,Spearman
STILL,happy_8_response,-0.2270326577058765,0.009962489701537888,Negative,Pearson
STILL,feel_sit_1_response,-0.39189166219404803,1.2967286337620942e-06,Negative,Pearson
UNKNOWN,proc_4_response,-0.2734641301786461,0.0026190848266505026,Negative,Pearson
ON_FOOT,feel_eat_1_response,0.30264546071177784,0.00017576904791154741,Positive,Pearson
SLEEP_MINUTES,sleep_0_response,0.2659915545316176,0.023923041649011857,Positive,Pearson
UNKNOWN,tense_11_response,-0.21789337303650966,0.013482554524063039,Negative,Spearman
IN_VEHICLE,int_exer_3_response,0.22319329653196548,0.04004822653522659,Positive,Spearman
