id,date,IN_VEHICLE,ON_BIKE,ON_FOOT,RUNNING,STILL,TILTING,WALKING,UNKNOWN,MIMS_SUM_WEAR,SLEEP_MINUTES,SCREEN_ON_SECONDS,UNLOCK_EVENTS_NUM,USAGE_DURATION_MIN,Q1_SAD,Q2_HAPP,Q3_FATIG,Q4_EN,Q5_REL,Q6_TEN,Q7_STRESS,Q8_FRUST,Q9_NERV,excite_14,focus_3,frust_12,happy_8,int_exer_3,nervous_4,proc_4,relax_10,sad_7,stress_2,tense_11
tipoffstarchpartly,2021-03-02,0,0,16,0,153,0,0,91,4800.966377188559,505.0,9255,25,24.0,1.0,3.0,2.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,4.25,3.25,4.0,,,,,,,
tipoffstarchpartly,2021-03-03,0,0,17,0,152,0,0,65,8467.940461167973,452.0,8201,23,38.0,1.0,3.0,2.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,4.5,1.0,,,,,,1.0,1.0,
tipoffstarchpartly,2021-03-04,0,0,27,0,126,0,0,92,6347.011376080374,459.0,7396,28,36.0,1.0,3.0,2.0,3.0,4.0,2.0,1.0,2.0,1.0,,4.5,,,,,,,1.0,,1.6
tipoffstarchpartly,2021-03-05,8,0,45,0,189,1,0,92,8817.487617728842,471.0,8285,39,31.0,1.3846153846153846,2.8461538461538463,2.3846153846153846,2.3076923076923075,3.6923076923076925,1.2307692307692308,1.0,1.3076923076923077,1.0769230769230769,,4.0,,,,,,,,,
tipoffstarchpartly,2021-03-06,58,0,13,0,220,7,0,151,7863.441917039965,484.0,9393,43,28.0,1.0,3.4615384615384617,1.9230769230769231,2.5384615384615383,3.5384615384615383,1.0769230769230769,1.0,1.0,1.0,,,,,,,,,,,
tipoffstarchpartly,2021-03-07,53,0,40,0,174,5,0,124,9288.371347774051,328.0,12305,54,42.0,1.0,3.25,1.6666666666666667,3.25,3.5833333333333335,1.25,1.0833333333333333,1.25,1.0833333333333333,,,,,,,,,,,
tipoffstarchpartly,2021-03-08,0,0,35,0,226,0,0,140,8185.568112699373,313.0,15658,51,20.0,1.0,3.0,2.076923076923077,3.3076923076923075,3.6153846153846154,1.3846153846153846,1.0769230769230769,1.5384615384615385,1.0,,,,,,,,,,,
tipoffstarchpartly,2021-03-09,4,0,25,0,191,1,0,66,6107.322587739853,481.0,8511,30,10.0,,,,,,,,,,1.75,,,,,,,,,,1.75
tipoffstarchpartly,2021-03-10,0,0,28,0,171,0,0,64,6507.074104874543,339.0,9065,27,27.0,1.0,3.5,3.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,,,,2.0,,,,,,2.5
tipoffstarchpartly,2021-03-11,0,0,21,0,183,0,0,90,7089.705626023564,340.0,8372,23,17.0,1.0,3.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,,,,,,,4.5,,,1.0
tipoffstarchpartly,2021-03-12,0,0,33,0,172,0,0,86,7959.15860946172,393.0,11775,40,40.0,,,,,,,,,,,,1.0,3.3333333333333335,,,,,,1.0,
