subject_id,watch_data_completeness,watch_total_minutes,phone_ema_response_rate,watch_ema_response_rate,total_emas,days_with_phone_data,phone_usage_events,data_quality_score
afflictedrevenueepilepsy@timestudy_com,94.5515873015873,504000,22.80130293159609,97.06951871657753,22928,360.0,854956,73.78188141508701
anagramprobingscrooge@timestudy_com,95.06624239513289,499680,25.711416136591897,93.34460950139727,22559,370.0,1575845,73.74330464944991
idealistsustainerexpansive@timestudy_com,97.00062189054727,482400,18.549675220956235,97.72986420648905,19038,356.0,980651,73.6841105844525
diagramuncoupleoutput@timestudy_com,95.0689860652732,436320,23.155634158665993,95.36470176666083,19350,328.0,1430079,73.58369520370732
tipoffstarchpartly@timestudy_com,94.82204861111111,483840,22.31139646869984,96.18308885646265,21743,355.0,919852,73.4771650419932
slapstickporcupineslacks@timestudy_com,87.16860355253212,423360,31.89559127805189,96.57569963497306,17789,374.0,472682,73.40882869492033
genderradiantlycharging@timestudy_com,96.23922413793103,501120,24.07583942378985,91.32441162898016,24610,367.0,1862205,73.11576497100341
washboardceramicsenticing@timestudy_com,93.83690254500311,515520,21.819713563605728,96.2484049340706,21251,379.0,2341354,72.95519656730414
reliablydetaildebate@timestudy_com,93.132204610951,499680,24.599692915112964,94.28471248246845,23378,368.0,865643,72.91820346365483
ropetinworkdemote@timestudy_com,95.57482868330885,326880,22.110384163730917,92.48215519226342,14647,240.0,784167,72.60769328012185
