,0
Q8_FRUST,0.7949477076426299
Q6_TEN,0.7774905594025175
Q1_SAD,0.7259976327503692
Q9_NERV,0.5227826678502696
tense_11,0.4582506994349939
frust_12,0.4470992726985303
sad_7,0.4394628434134006
Q3_FATIG,0.4231531007941534
nervous_4,0.3867000818236247
int_exer_3,0.3243619764264878
USAGE_DURATION_MIN,0.2781900469250315
STILL,0.26208950326640107
MIMS_SUM_WEAR,0.1735936194206116
ON_FOOT,0.1523829206161986
SLEEP_MINUTES,0.14464112366191284
UNLOCK_EVENTS_NUM,0.12189193997025272
proc_4,0.09085711131876346
UNKNOWN,0.04747922743495892
TILTING,0.03863749468517641
SCREEN_ON_SECONDS,0.005369835009996441
IN_VEHICLE,-0.023495702140067017
ON_BIKE,-0.050883380405842185
excite_14,-0.14050837273538644
Q4_EN,-0.21656160152475004
focus_3,-0.21799401093592508
happy_8,-0.3088952504758547
Q5_REL,-0.36890015665061415
relax_10,-0.37500170095343555
Q2_HAPP,-0.4219124160562718
