,stress_normalized
stress_normalized,1.0
Q6_TEN,0.43965947552529416
Q8_FRUST,0.42363454608743206
Q1_SAD,0.29393398290511136
Q9_NERV,0.27259293829061554
Q3_FATIG,0.15053165583710315
UNLOCK_EVENTS_NUM,0.019715165999007012
SCREEN_ON_SECONDS,0.006535452773280442
SLEEP_MINUTES,-0.01903253984062328
Q4_EN,-0.04683731953595295
Q2_HAPP,-0.1349776509305365
Q5_REL,-0.2019688288670004
