day_of_week,stress_normalized
Friday,-0.02909648913889412
Monday,0.0031538022480511792
Saturday,-0.21559581246718504
Sunday,-0.21971836427715363
Thursday,0.10028534683944125
Tuesday,0.14063538030978565
Wednesday,0.22339754416834243
