,0
Q6_TEN,0.4137793758075212
Q9_NERV,0.31519449705755703
Q8_FRUST,0.31173051188928125
nervous_4,0.24154467222979292
Q1_SAD,0.23482184513928472
Q3_FATIG,0.1295272098261425
proc_4,0.1025312283849111
UNLOCK_EVENTS_NUM,0.08774646167915973
tense_11,0.08741893595178611
MIMS_SUM_WEAR,0.06584621590819344
int_exer_3,0.05894907639742646
focus_3,0.04503288398156507
SLEEP_MINUTES,0.04206335234140735
sad_7,-0.025668007745257928
IN_VEHICLE,-0.02947959647555368
USAGE_DURATION_MIN,-0.05076784893002841
ON_FOOT,-0.0667870267313272
STILL,-0.0687334334945071
ON_BIKE,-0.07401347724771803
frust_12,-0.08822388637400672
UNKNOWN,-0.10480392521887559
Q4_EN,-0.1329014613008797
SCREEN_ON_SECONDS,-0.13711722962143974
TILTING,-0.2267711361000869
Q2_HAPP,-0.28078594306571
excite_14,-0.29408464174185256
happy_8,-0.3296641821647623
relax_10,-0.35802266842647223
Q5_REL,-0.45790298995854833
