,0
Q6_TEN,0.8463361562206632
Q8_FRUST,0.7452090124897576
Q9_NERV,0.6859208347528633
tense_11,0.4835573556523969
frust_12,0.46093115893420866
nervous_4,0.4185690466791725
Q3_FATIG,0.40771562415472623
Q1_SAD,0.2922638482939971
sad_7,0.25030718500947474
focus_3,0.14045308706017748
UNLOCK_EVENTS_NUM,0.13613632919317525
SCREEN_ON_SECONDS,0.11404307173569123
IN_VEHICLE,0.05983340014247564
Q2_HAPP,0.005113072745913475
int_exer_3,-0.0036006632450151076
Q4_EN,-0.022544979586220752
USAGE_DURATION_MIN,-0.030482097244435645
TILTING,-0.0316387291354391
happy_8,-0.04488473885808289
excite_14,-0.08591213227478925
ON_FOOT,-0.0932029800858052
SLEEP_MINUTES,-0.10178247219659442
proc_4,-0.11125252573406162
Q5_REL,-0.12613167897436173
ON_BIKE,-0.14193211140785691
relax_10,-0.1550414975504892
MIMS_SUM_WEAR,-0.16761829831056044
UNKNOWN,-0.2085767972069336
STILL,-0.2759871211353652
