day_of_week,watch_stress_normalized
Friday,0.01719670564547676
Monday,-0.002097980288267553
Saturday,-0.034363152677349296
Sunday,-0.09391133657927787
Thursday,0.022019523043190898
Tuesday,0.07639827309527679
Wednesday,0.01556630214796209
