,0
Q6_TEN,0.5714245521233778
Q9_NERV,0.48942299429534863
nervous_4,0.4041278521569753
Q8_FRUST,0.26366883937319896
tense_11,0.2610989158823869
Q1_SAD,0.2499640702089683
Q3_FATIG,0.20676944964325703
focus_3,0.15871835035671647
frust_12,0.13254421371742983
Q4_EN,0.05685983449556531
proc_4,0.023455081556334887
sad_7,0.02288812777113879
MIMS_SUM_WEAR,-0.02280009792431846
STILL,-0.027783560594382244
ON_BIKE,-0.061106560096691576
Q2_HAPP,-0.06239928696505503
UNLOCK_EVENTS_NUM,-0.06425372637696398
SLEEP_MINUTES,-0.06506987825908254
USAGE_DURATION_MIN,-0.10457954274098087
TILTING,-0.11395085310114042
excite_14,-0.12991729967234666
IN_VEHICLE,-0.1476310392577854
ON_FOOT,-0.1557698655697183
UNKNOWN,-0.1611551266883446
SCREEN_ON_SECONDS,-0.2190122043318794
happy_8,-0.24546903984153956
int_exer_3,-0.37205552182543206
Q5_REL,-0.474725114300984
relax_10,-0.4902072040172055
