,0
Q8_FRUST,0.45108205153610165
Q6_TEN,0.3388712742805111
Q9_NERV,0.3277534482658535
Q1_SAD,0.23803067757709884
tense_11,0.13952801718307792
SCREEN_ON_SECONDS,0.1389140033014724
frust_12,0.1320823561950044
SLEEP_MINUTES,0.0765809313642856
Q3_FATIG,0.06787379039602694
focus_3,0.0674300733664907
ON_BIKE,0.03412291562720182
nervous_4,0.03314647872825884
sad_7,0.026031090907962826
UNKNOWN,0.02577470847748679
happy_8,0.01842291984318854
IN_VEHICLE,0.013279696017561834
TILTING,-0.019368816925849613
MIMS_SUM_WEAR,-0.024106447833231813
relax_10,-0.027713748796622875
ON_FOOT,-0.04164111811546327
excite_14,-0.04487389473853087
proc_4,-0.08547795988236603
STILL,-0.09116198484005973
USAGE_DURATION_MIN,-0.09231455690208408
UNLOCK_EVENTS_NUM,-0.09693191031272151
int_exer_3,-0.12700621640259513
Q4_EN,-0.17545615528411537
Q2_HAPP,-0.17805738900579057
Q5_REL,-0.20017232638080915
