Participant_ID,Prompt_Type,Study_Mode,Prompt_Trigger,Time_Window_Start,Time_Window_End,Initial_Prompt_Date,Initial_Prompt_Local_Time,Initial_Prompt_UTC_Offset,Initial_Prompt_UnixTime,Answer_Status,Reprompt1_Prompt_Date,Reprompt1_Prompt_Local_Time,Reprompt1_Prompt_UnixTime,Reprompt2_Prompt_Date,Reprompt2_Prompt_Local_Time,Reprompt2_Prompt_UnixTime,Reprompt3_Prompt_Date,Reprompt3_Prompt_Local_Time,Reprompt3_Prompt_UnixTime,Reprompt4_Prompt_Date,Reprompt4_Prompt_Local_Time,Reprompt4_Prompt_UnixTime,Reprompt5_Prompt_Date,Reprompt5_Prompt_Local_Time,Reprompt5_Prompt_UnixTime,Question_Set_Completion_Date,Question_Set_Completion_Local_Time,Question_Set_Completion_UnixTime,Question_Set_Completion_Prompt_Number,Probabilistic_Question_Set_Selected,Number_Of_Questions_Presented,Surveyversionnumber,Question_X_ID,Question_X_Text,Question_X_Answer_Text,Question_X_Answer_Unixtime,PARTICIPANT_ID_TEXT,PARTICIPANT_ID_NUMERIC
unknown_user,CS_EMA_Micro,TIME,CONTEXT,18,19,2020-09-25,Fri Sep 25 18:16:04 PDT 2020,GMT-07:00,1601082964616,NeverStarted,,,-1,,,-1,,,-1,,,-1,,,-1,,,-1,-1,,1,-1,activity_2,Physically active 7 min ago?,-NOT_ANS-,-1,anagramprobingscrooge,9064
unknown_user,EMA_Micro,TIME,RANDOM,18,19,2020-09-25,Fri Sep 25 18:54:11 PDT 2020,GMT-07:00,1601085251298,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-25,18:54:22.787,1601085262788,1,,1,-1,nervous_4,Feeling nervous?,No,1601085256803,anagramprobingscrooge,9064
unknown_user,EMA_Micro,TIME,RANDOM,19,20,2020-09-25,Fri Sep 25 19:12:06 PDT 2020,GMT-07:00,1601086326179,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-25,19:12:18.669,1601086338669,1,,1,-1,friend_1,With friend(s) now?,No,1601086332633,anagramprobingscrooge,9064
unknown_user,EMA_Micro,TIME,RANDOM,19,20,2020-09-25,Fri Sep 25 19:30:03 PDT 2020,GMT-07:00,1601087403050,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-25,19:30:09.729,1601087409729,1,,1,-1,tense_11,Feeling tense?,No,1601087406398,anagramprobingscrooge,9064
unknown_user,Trivia_EMA_Micro,TIME,RANDOM,19,20,2020-09-25,Fri Sep 25 19:45:04 PDT 2020,GMT-07:00,1601088304560,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-25,19:45:11.712,1601088311712,1,,1,-1,Val_0,Pig is an ____,Animal,1601088308331,anagramprobingscrooge,9064
unknown_user,EMA_Micro,TIME,RANDOM,20,21,2020-09-25,Fri Sep 25 20:14:02 PDT 2020,GMT-07:00,1601090042786,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-25,20:14:10.970,1601090050983,1,,1,-1,prod_0,Feeling productive today?,Yes,1601090047490,anagramprobingscrooge,9064
unknown_user,EMA_Micro,TIME,RANDOM,20,21,2020-09-25,Fri Sep 25 20:31:03 PDT 2020,GMT-07:00,1601091063538,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-25,20:31:11.083,1601091071086,1,,1,-1,tired_1,Feeling tired?,Sort of,1601091067759,anagramprobingscrooge,9064
unknown_user,CS_EMA_Micro,TIME,CONTEXT,20,21,2020-09-25,Fri Sep 25 20:45:02 PDT 2020,GMT-07:00,1601091902290,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-25,20:45:10.292,1601091910292,1,,1,-1,activity_2,Physically active 6 min ago?,No,1601091906921,anagramprobingscrooge,9064
unknown_user,EMA_Micro,TIME,RANDOM,20,21,2020-09-25,Fri Sep 25 20:54:03 PDT 2020,GMT-07:00,1601092443991,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-25,20:54:12.202,1601092452202,1,,1,-1,happy_8,Feeling happy?,Yes,1601092448869,anagramprobingscrooge,9064
anagramprobingscrooge@timestudy_com,EMA_Micro,TIME,RANDOM,7,8,2020-09-26,Sat Sep 26 07:24:03 PDT 2020,GMT-07:00,1601130243871,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-26,07:24:10.499,1601130250499,1,,1,-1,pain_0,In pain/sickness?,No,1601130247164,anagramprobingscrooge,9064
anagramprobingscrooge@timestudy_com,Trivia_EMA_Micro,TIME,RANDOM,7,8,2020-09-26,Sat Sep 26 07:35:06 PDT 2020,GMT-07:00,1601130906079,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-26,07:35:18.605,1601130918607,1,,1,-1,trait_1,Do you socialize...,Sometimes,1601130918025,anagramprobingscrooge,9064
anagramprobingscrooge@timestudy_com,EMA_Micro,TIME,RANDOM,7,8,2020-09-26,Sat Sep 26 07:43:03 PDT 2020,GMT-07:00,1601131383426,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-26,07:43:10.576,1601131390576,1,,1,-1,control_1,Feeling in control?,Yes,1601131387049,anagramprobingscrooge,9064
anagramprobingscrooge@timestudy_com,EMA_Micro,TIME,RANDOM,7,8,2020-09-26,Sat Sep 26 07:51:04 PDT 2020,GMT-07:00,1601131864373,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-26,07:51:10.736,1601131870742,1,,1,-1,focus_3,Feeling focused?,Yes,1601131867295,anagramprobingscrooge,9064
anagramprobingscrooge@timestudy_com,EMA_Micro,TIME,RANDOM,8,9,2020-09-26,Sat Sep 26 08:16:03 PDT 2020,GMT-07:00,1601133363145,NeverStarted,,,-1,,,-1,,,-1,,,-1,,,-1,,,-1,-1,,1,-1,frust_12,Feeling frustrated?,-NOT_ANS-,-1,anagramprobingscrooge,9064
anagramprobingscrooge@timestudy_com,EMA_Micro,TIME,RANDOM,8,9,2020-09-26,Sat Sep 26 08:27:02 PDT 2020,GMT-07:00,1601134022525,NeverStarted,,,-1,,,-1,,,-1,,,-1,,,-1,,,-1,-1,,1,-1,feel_eat_1,Feel like eating healthy?,-NOT_ANS-,-1,anagramprobingscrooge,9064
anagramprobingscrooge@timestudy_com,EMA_Micro,TIME,RANDOM,8,9,2020-09-26,Sat Sep 26 08:46:02 PDT 2020,GMT-07:00,1601135162552,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-26,08:46:09.907,1601135169907,1,,1,-1,frust_12,Feeling frustrated?,No,1601135166380,anagramprobingscrooge,9064
anagramprobingscrooge@timestudy_com,EMA_Micro,TIME,RANDOM,8,9,2020-09-26,Sat Sep 26 08:54:02 PDT 2020,GMT-07:00,1601135642702,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-26,08:54:08.358,1601135648358,1,,1,-1,alone_0,Alone right now?,Yes,1601135644981,anagramprobingscrooge,9064
anagramprobingscrooge@timestudy_com,EMA_Micro,TIME,RANDOM,9,10,2020-09-26,Sat Sep 26 09:14:07 PDT 2020,GMT-07:00,1601136847709,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-26,09:14:14.201,1601136854201,1,,1,-1,energy_9,Feeling energetic?,Sort of,1601136850794,anagramprobingscrooge,9064
anagramprobingscrooge@timestudy_com,EMA_Micro,TIME,RANDOM,9,10,2020-09-26,Sat Sep 26 09:23:03 PDT 2020,GMT-07:00,1601137383789,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-26,09:23:09.669,1601137389669,1,,1,-1,sad_7,Feeling sad?,No,1601137386259,anagramprobingscrooge,9064
anagramprobingscrooge@timestudy_com,EMA_Micro,TIME,RANDOM,9,10,2020-09-26,Sat Sep 26 09:41:04 PDT 2020,GMT-07:00,1601138464704,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-26,09:41:11.928,1601138471929,1,,1,-1,control_1,Feeling in control?,Yes,1601138468464,anagramprobingscrooge,9064
anagramprobingscrooge@timestudy_com,EMA_Micro,TIME,RANDOM,9,10,2020-09-26,Sat Sep 26 09:51:28 PDT 2020,GMT-07:00,1601139088896,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-26,09:51:36.698,1601139096698,1,,1,-1,feel_eat_1,Feel like eating healthy?,Yes,1601139093361,anagramprobingscrooge,9064
anagramprobingscrooge@timestudy_com,EMA_Micro,TIME,RANDOM,10,11,2020-09-26,Sat Sep 26 10:20:03 PDT 2020,GMT-07:00,1601140803823,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-26,10:20:13.005,1601140813005,1,,1,-1,int_sed_1,Intend to sit less today?,Yes,1601140809342,anagramprobingscrooge,9064
anagramprobingscrooge@timestudy_com,EMA_Micro,TIME,RANDOM,10,11,2020-09-26,Sat Sep 26 10:32:02 PDT 2020,GMT-07:00,1601141522673,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-26,10:32:10.860,1601141530860,1,,1,-1,stress_2,Feeling stressed?,No,1601141527480,anagramprobingscrooge,9064
anagramprobingscrooge@timestudy_com,CS_EMA_Micro,TIME,CONTEXT,10,11,2020-09-26,Sat Sep 26 10:44:04 PDT 2020,GMT-07:00,1601142244280,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-26,10:44:11.610,1601142251610,1,,1,-1,activity_2,Physically active 8 min ago?,Sort of,1601142248065,anagramprobingscrooge,9064
anagramprobingscrooge@timestudy_com,EMA_Micro,TIME,RANDOM,10,11,2020-09-26,Sat Sep 26 10:52:03 PDT 2020,GMT-07:00,1601142723584,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-26,10:52:09.652,1601142729652,1,,1,-1,energy_9,Feeling energetic?,Yes,1601142726423,anagramprobingscrooge,9064
anagramprobingscrooge@timestudy_com,CS_EMA_Micro,TIME,CONTEXT,11,12,2020-09-26,Sat Sep 26 11:23:02 PDT 2020,GMT-07:00,1601144582628,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-26,11:23:09.345,1601144589345,1,,1,-1,activity_2,Physically active 16 min ago?,No,1601144585964,anagramprobingscrooge,9064
anagramprobingscrooge@timestudy_com,EMA_Micro,TIME,RANDOM,11,12,2020-09-26,Sat Sep 26 11:34:03 PDT 2020,GMT-07:00,1601145243955,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-26,11:34:14.473,1601145254478,1,,1,-1,int_sed_1,Intend to sit less today?,Yes,1601145250103,anagramprobingscrooge,9064
anagramprobingscrooge@timestudy_com,CS_EMA_Micro,TIME,CONTEXT,11,12,2020-09-26,Sat Sep 26 11:43:07 PDT 2020,GMT-07:00,1601145787032,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-26,11:43:14.146,1601145794162,1,,1,-1,activity_2,Physically active 2 min ago?,Sort of,1601145790545,anagramprobingscrooge,9064
anagramprobingscrooge@timestudy_com,CS_EMA_Micro,TIME,CONTEXT,11,12,2020-09-26,Sat Sep 26 11:55:09 PDT 2020,GMT-07:00,1601146509914,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-26,11:55:17.354,1601146517354,1,,1,-1,activity_2,Physically active 5 min ago?,Sort of,1601146513973,anagramprobingscrooge,9064
anagramprobingscrooge@timestudy_com,EMA_Micro,TIME,RANDOM,12,13,2020-09-26,Sat Sep 26 12:11:03 PDT 2020,GMT-07:00,1601147463440,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-26,12:11:10.135,1601147470143,1,,1,-1,frust_12,Feeling frustrated?,Sort of,1601147466628,anagramprobingscrooge,9064
anagramprobingscrooge@timestudy_com,EMA_Micro,TIME,RANDOM,12,13,2020-09-26,Sat Sep 26 12:31:04 PDT 2020,GMT-07:00,1601148664604,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-26,12:31:13.566,1601148673593,1,,1,-1,alone_0,Alone right now?,No,1601148669898,anagramprobingscrooge,9064
anagramprobingscrooge@timestudy_com,EMA_Micro,TIME,RANDOM,12,13,2020-09-26,Sat Sep 26 12:45:04 PDT 2020,GMT-07:00,1601149504194,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-26,12:45:11.007,1601149511007,1,,1,-1,pain_0,In pain/sickness?,No,1601149507535,anagramprobingscrooge,9064
anagramprobingscrooge@timestudy_com,EMA_Micro,TIME,RANDOM,12,13,2020-09-26,Sat Sep 26 12:53:02 PDT 2020,GMT-07:00,1601149982880,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-26,12:53:09.427,1601149989427,1,,1,-1,focus_3,Feeling focused?,Yes,1601149985924,anagramprobingscrooge,9064
anagramprobingscrooge@timestudy_com,EMA_Micro,TIME,RANDOM,13,14,2020-09-26,Sat Sep 26 13:14:01 PDT 2020,GMT-07:00,1601151241320,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-26,13:14:08.441,1601151248442,1,,1,-1,control_1,Feeling in control?,Yes,1601151244883,anagramprobingscrooge,9064
anagramprobingscrooge@timestudy_com,EMA_Micro,TIME,RANDOM,13,14,2020-09-26,Sat Sep 26 13:33:03 PDT 2020,GMT-07:00,1601152383337,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-26,13:33:09.809,1601152389809,1,,1,-1,feel_eat_1,Feel like eating healthy?,Yes,1601152386287,anagramprobingscrooge,9064
anagramprobingscrooge@timestudy_com,EMA_Micro,TIME,RANDOM,13,14,2020-09-26,Sat Sep 26 13:42:03 PDT 2020,GMT-07:00,1601152923787,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-26,13:42:09.281,1601152929281,1,,1,-1,stress_2,Feeling stressed?,Yes,1601152925987,anagramprobingscrooge,9064
anagramprobingscrooge@timestudy_com,Trivia_EMA_Micro,TIME,RANDOM,13,14,2020-09-26,Sat Sep 26 13:53:03 PDT 2020,GMT-07:00,1601153583400,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-26,13:53:12.575,1601153592576,1,,1,-1,trait_2,Usually sympathetic and warm?,Yes,1601153589083,anagramprobingscrooge,9064
anagramprobingscrooge@timestudy_com,EMA_Micro,TIME,RANDOM,14,15,2020-09-26,Sat Sep 26 14:12:04 PDT 2020,GMT-07:00,1601154724824,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-26,14:12:12.701,1601154732701,1,,1,-1,int_sed_1,Intend to sit less today?,Sort of,1601154729239,anagramprobingscrooge,9064
anagramprobingscrooge@timestudy_com,CS_EMA_Micro,TIME,CONTEXT,14,15,2020-09-26,Sat Sep 26 14:36:05 PDT 2020,GMT-07:00,1601156165761,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-26,14:36:12.131,1601156172132,1,,1,-1,activity_0,Sedentary 19 min ago?,Yes,1601156168706,anagramprobingscrooge,9064
anagramprobingscrooge@timestudy_com,Trivia_EMA_Micro,TIME,RANDOM,14,15,2020-09-26,Sat Sep 26 14:44:32 PDT 2020,GMT-07:00,1601156672618,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-26,14:44:41.454,1601156681454,1,,1,-1,trait_3,Tech reduces effort?,Yes,1601156678017,anagramprobingscrooge,9064
anagramprobingscrooge@timestudy_com,CS_EMA_Micro,TIME,CONTEXT,14,15,2020-09-26,Sat Sep 26 14:52:03 PDT 2020,GMT-07:00,1601157123868,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-26,14:52:11.518,1601157131528,1,,1,-1,activity_2,Physically active 9 min ago?,No,1601157128187,anagramprobingscrooge,9064
anagramprobingscrooge@timestudy_com,EMA_Micro,TIME,RANDOM,15,16,2020-09-26,Sat Sep 26 15:17:13 PDT 2020,GMT-07:00,1601158633052,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-26,15:17:21.804,1601158641804,1,,1,-1,energy_9,Feeling energetic?,Sort of,1601158637968,anagramprobingscrooge,9064
anagramprobingscrooge@timestudy_com,Trivia_EMA_Micro,TIME,RANDOM,15,16,2020-09-26,Sat Sep 26 15:36:05 PDT 2020,GMT-07:00,1601159765431,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-26,15:36:15.307,1601159775312,1,,1,-1,Val_1,Ferrari makes ___,Cars,1601159771283,anagramprobingscrooge,9064
anagramprobingscrooge@timestudy_com,EMA_Micro,TIME,RANDOM,15,16,2020-09-26,Sat Sep 26 15:47:18 PDT 2020,GMT-07:00,1601160438245,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2020-09-26,15:47:24.200,1601160444201,1,,1,-1,feel_eat_1,Feel like eating healthy?,Yes,1601160440771,anagramprobingscrooge,9064
