Participant_ID,Prompt_Type,Study_Mode,Prompt_Trigger,Time_Window_Start,Time_Window_End,Initial_Prompt_Date,Initial_Prompt_Local_Time,Initial_Prompt_UTC_Offset,Initial_Prompt_UnixTime,Answer_Status,Reprompt1_Prompt_Date,Reprompt1_Prompt_Local_Time,Reprompt1_Prompt_UnixTime,Reprompt2_Prompt_Date,Reprompt2_Prompt_Local_Time,Reprompt2_Prompt_UnixTime,Reprompt3_Prompt_Date,Reprompt3_Prompt_Local_Time,Reprompt3_Prompt_UnixTime,Reprompt4_Prompt_Date,Reprompt4_Prompt_Local_Time,Reprompt4_Prompt_UnixTime,Reprompt5_Prompt_Date,Reprompt5_Prompt_Local_Time,Reprompt5_Prompt_UnixTime,Question_Set_Completion_Date,Question_Set_Completion_Local_Time,Question_Set_Completion_UnixTime,Question_Set_Completion_Prompt_Number,Probabilistic_Question_Set_Selected,Number_Of_Questions_Presented,Surveyversionnumber,Question_X_ID,Question_X_Text,Question_X_Answer_Text,Question_X_Answer_Unixtime,PARTICIPANT_ID_TEXT,PARTICIPANT_ID_NUMERIC
unknown_user,EMA_Micro,TIME,RANDOM,10,11,2021-01-08,Fri Jan 08 10:20:01 PST 2021,GMT-08:00,1610130001845,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2021-01-08,10:20:13.211,1610130013211,1,,1,-1,focus_3,Feeling focused?,Sort of,1610130009856,dissuadecelestialrelic,9153
unknown_user,EMA_Micro,TIME,RANDOM,10,11,2021-01-08,Fri Jan 08 10:32:01 PST 2021,GMT-08:00,1610130721617,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2021-01-08,10:32:11.092,1610130731093,1,,1,-1,tense_11,Feeling tense?,Sort of,1610130727835,dissuadecelestialrelic,9153
unknown_user,EMA_Micro,TIME,RANDOM,10,11,2021-01-08,Fri Jan 08 10:43:01 PST 2021,GMT-08:00,1610131381482,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2021-01-08,10:43:07.027,1610131387027,1,,1,-1,friend_1,With friend(s) now?,No,1610131383738,dissuadecelestialrelic,9153
dissuadecelestialrelic@timestudy_com,EMA_Micro,TIME,RANDOM,10,11,2021-01-08,Fri Jan 08 10:54:01 PST 2021,GMT-08:00,1610132041742,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2021-01-08,10:54:11.450,1610132051450,1,,1,-1,excite_14,Feeling excited?,No,1610132048158,dissuadecelestialrelic,9153
dissuadecelestialrelic@timestudy_com,EMA_Micro,TIME,RANDOM,11,12,2021-01-08,Fri Jan 08 11:29:05 PST 2021,GMT-08:00,1610134145346,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2021-01-08,11:29:13.820,1610134153820,1,,1,-1,feel_exer_1,Feel like exercising?,No,1610134150126,dissuadecelestialrelic,9153
dissuadecelestialrelic@timestudy_com,EMA_Micro,TIME,RANDOM,11,12,2021-01-08,Fri Jan 08 11:38:01 PST 2021,GMT-08:00,1610134681330,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2021-01-08,11:38:08.411,1610134688412,1,,1,-1,frust_12,Feeling frustrated?,Sort of,1610134685161,dissuadecelestialrelic,9153
dissuadecelestialrelic@timestudy_com,EMA_Micro,TIME,RANDOM,11,12,2021-01-08,Fri Jan 08 11:46:02 PST 2021,GMT-08:00,1610135162261,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2021-01-08,11:46:09.616,1610135169616,1,,1,-1,focus_3,Feeling focused?,Sort of,1610135166383,dissuadecelestialrelic,9153
dissuadecelestialrelic@timestudy_com,EMA_Micro,TIME,RANDOM,11,12,2021-01-08,Fri Jan 08 11:54:01 PST 2021,GMT-08:00,1610135641777,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2021-01-08,11:54:10.020,1610135650021,1,,1,-1,hunger_0,Feeling hungry?,No,1610135646087,dissuadecelestialrelic,9153
dissuadecelestialrelic@timestudy_com,CS_EMA_Micro,TIME,CONTEXT,12,13,2021-01-08,Fri Jan 08 12:30:01 PST 2021,GMT-08:00,1610137801992,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2021-01-08,12:30:18.204,1610137818204,1,,1,-1,activity_0,Sedentary 24 min ago?,Sort of,1610137814494,dissuadecelestialrelic,9153
dissuadecelestialrelic@timestudy_com,EMA_Micro,TIME,RANDOM,12,13,2021-01-08,Fri Jan 08 12:38:01 PST 2021,GMT-08:00,1610138281553,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2021-01-08,12:38:14.681,1610138294681,1,,1,-1,demands_1,Juggling several tasks?,No,1610138290673,dissuadecelestialrelic,9153
