Participant_ID,Prompt_Type,Study_Mode,Prompt_Trigger,Time_Window_Start,Time_Window_End,Initial_Prompt_Date,Initial_Prompt_Local_Time,Initial_Prompt_UTC_Offset,Initial_Prompt_UnixTime,Answer_Status,Reprompt1_Prompt_Date,Reprompt1_Prompt_Local_Time,Reprompt1_Prompt_UnixTime,Reprompt2_Prompt_Date,Reprompt2_Prompt_Local_Time,Reprompt2_Prompt_UnixTime,Reprompt3_Prompt_Date,Reprompt3_Prompt_Local_Time,Reprompt3_Prompt_UnixTime,Reprompt4_Prompt_Date,Reprompt4_Prompt_Local_Time,Reprompt4_Prompt_UnixTime,Reprompt5_Prompt_Date,Reprompt5_Prompt_Local_Time,Reprompt5_Prompt_UnixTime,Question_Set_Completion_Date,Question_Set_Completion_Local_Time,Question_Set_Completion_UnixTime,Question_Set_Completion_Prompt_Number,Probabilistic_Question_Set_Selected,Number_Of_Questions_Presented,Surveyversionnumber,Question_X_ID,Question_X_Text,Question_X_Answer_Text,Question_X_Answer_Unixtime,PARTICIPANT_ID_TEXT,PARTICIPANT_ID_NUMERIC
diagramuncoupleoutput@timestudy_com,EMA_Micro,TIME,RANDOM,22,23,2021-02-12,Fri Feb 12 22:21:02 PST 2021,GMT-08:00,1613197262786,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2021-02-12,22:21:15.511,1613197275512,1,,1,-1,demands_1,Juggling several tasks?,No,1613197270745,diagramuncoupleoutput,9166
diagramuncoupleoutput@timestudy_com,EMA_Micro,TIME,RANDOM,22,23,2021-02-12,Fri Feb 12 22:35:03 PST 2021,GMT-08:00,1613198103653,NeverStarted,,,-1,,,-1,,,-1,,,-1,,,-1,,,-1,-1,,1,-1,int_sed_1,Intend to sit less today?,-NOT_ANS-,-1,diagramuncoupleoutput,9166
diagramuncoupleoutput@timestudy_com,EMA_Micro,TIME,RANDOM,22,23,2021-02-12,Fri Feb 12 22:45:01 PST 2021,GMT-08:00,1613198701580,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2021-02-12,22:45:11.300,1613198711300,1,,1,-1,sad_7,Feeling sad?,No,1613198706687,diagramuncoupleoutput,9166
diagramuncoupleoutput@timestudy_com,EMA_Micro,TIME,RANDOM,22,23,2021-02-12,Fri Feb 12 22:53:01 PST 2021,GMT-08:00,1613199181730,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2021-02-12,22:53:09.309,1613199189309,1,,1,-1,control_1,Feeling in control?,Yes,1613199185954,diagramuncoupleoutput,9166
diagramuncoupleoutput@timestudy_com,CS_EMA_Micro,TIME,CONTEXT,23,24,2021-02-12,Fri Feb 12 23:24:01 PST 2021,GMT-08:00,1613201041860,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2021-02-12,23:24:08.682,1613201048682,1,,1,-1,activity_2,Physically active 32 min ago?,No,1613201045090,diagramuncoupleoutput,9166
diagramuncoupleoutput@timestudy_com,EMA_Micro,TIME,RANDOM,23,24,2021-02-12,Fri Feb 12 23:34:01 PST 2021,GMT-08:00,1613201641625,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2021-02-12,23:34:07.560,1613201647561,1,,1,-1,feel_exer_1,Feel like exercising?,Sort of,1613201647239,diagramuncoupleoutput,9166
diagramuncoupleoutput@timestudy_com,EMA_Micro,TIME,RANDOM,23,24,2021-02-12,Fri Feb 12 23:45:01 PST 2021,GMT-08:00,1613202301561,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2021-02-12,23:45:08.695,1613202308695,1,,1,-1,sleep_0,Slept well yesterday?,Yes,1613202305318,diagramuncoupleoutput,9166
diagramuncoupleoutput@timestudy_com,EMA_Micro,TIME,RANDOM,23,24,2021-02-12,Fri Feb 12 23:54:02 PST 2021,GMT-08:00,1613202842713,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2021-02-12,23:54:16.740,1613202856740,1,,1,-1,family_1,With family member(s) now?,No,1613202853427,diagramuncoupleoutput,9166
diagramuncoupleoutput@timestudy_com,EMA_Micro,TIME,RANDOM,0,1,2021-02-13,Sat Feb 13 00:21:02 PST 2021,GMT-08:00,1613204462454,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2021-02-13,00:21:11.522,1613204471522,1,,1,-1,int_sed_1,Intend to sit less today?,Yes,1613204468144,diagramuncoupleoutput,9166
diagramuncoupleoutput@timestudy_com,EMA_Micro,TIME,RANDOM,0,1,2021-02-13,Sat Feb 13 00:37:01 PST 2021,GMT-08:00,1613205421782,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2021-02-13,00:37:09.602,1613205429602,1,,1,-1,control_1,Feeling in control?,Yes,1613205425845,diagramuncoupleoutput,9166
diagramuncoupleoutput@timestudy_com,EMA_Micro,TIME,RANDOM,9,10,2021-02-13,Sat Feb 13 09:54:02 PST 2021,GMT-08:00,1613238842960,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2021-02-13,09:54:09.228,1613238849228,1,,1,-1,feel_sit_1,Feel like sitting less?,Yes,1613238845896,diagramuncoupleoutput,9166
diagramuncoupleoutput@timestudy_com,Trivia_EMA_Micro,TIME,RANDOM,10,11,2021-02-13,Sat Feb 13 10:30:01 PST 2021,GMT-08:00,1613241001800,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2021-02-13,10:30:11.865,1613241011865,1,,1,-1,trait_0,Play sports?,Rarely,1613241008459,diagramuncoupleoutput,9166
